idCountry	idCRecomendation
AFG	0
AFG	2
AFG	3
AFG	4
AFG	5
AFG	6
AFG	7
AFG	8
AFG	9
AFG	10
AFG	11
AFG	12
AFG	13
AFG	14
AFG	15
AFG	16
AFG	17
AFG	18
AFG	19
AFG	20
AFG	21
AFG	22
AFG	23
AFG	24
AFG	25
AFG	26
AFG	27
AFG	28
AFG	29
AFG	30
AFG	31
AFG	32
AFG	34
AFG	36
AFG	37
AFG	38
AFG	39
AFG	40
AFG	41
AFG	42
AFG	43
AFG	44
AFG	45
AFG	46
AFG	47
AFG	48
AFG	49
AFG	50
AFG	51
AFG	52
AFG	53
AFG	54
AFG	55
AFG	56
AFG	57
AFG	58
AFG	59
AFG	60
AFG	61
AFG	62
ALB	0
ALB	2
ALB	3
ALB	4
ALB	5
ALB	6
ALB	7
ALB	8
ALB	9
ALB	10
ALB	11
ALB	12
ALB	13
ALB	14
ALB	15
ALB	16
ALB	17
ALB	18
ALB	19
ALB	20
ALB	21
ALB	22
ALB	23
ALB	24
ALB	25
ALB	26
ALB	27
ALB	28
ALB	29
ALB	30
ALB	31
ALB	32
ALB	34
ALB	36
ALB	37
ALB	38
ALB	39
ALB	40
ALB	41
ALB	42
ALB	44
ALB	45
ALB	46
ALB	64
ALB	48
ALB	49
ALB	50
ALB	51
ALB	52
ALB	53
ALB	65
ALB	55
ALB	56
ALB	57
ALB	58
ALB	59
ALB	60
ALB	61
ALB	62
DZA	0
DZA	2
DZA	3
DZA	4
DZA	5
DZA	6
DZA	7
DZA	8
DZA	9
DZA	10
DZA	11
DZA	12
DZA	13
DZA	14
DZA	15
DZA	16
DZA	17
DZA	18
DZA	19
DZA	20
DZA	21
DZA	22
DZA	23
DZA	24
DZA	25
DZA	26
DZA	27
DZA	28
DZA	29
DZA	30
DZA	31
DZA	32
DZA	34
DZA	36
DZA	37
DZA	38
DZA	39
DZA	40
DZA	41
DZA	42
DZA	44
DZA	45
DZA	46
DZA	66
DZA	48
DZA	49
DZA	50
DZA	51
DZA	52
DZA	53
DZA	67
DZA	55
DZA	56
DZA	57
DZA	58
DZA	59
DZA	60
DZA	61
DZA	62
ASM	0
ASM	2
ASM	3
ASM	4
ASM	5
ASM	6
ASM	7
ASM	8
ASM	9
ASM	10
ASM	11
ASM	12
ASM	13
ASM	14
ASM	15
ASM	16
ASM	17
ASM	18
ASM	19
ASM	20
ASM	21
ASM	22
ASM	23
ASM	24
ASM	25
ASM	26
ASM	27
ASM	28
ASM	29
ASM	30
ASM	31
ASM	32
ASM	34
ASM	36
ASM	37
ASM	38
ASM	39
ASM	40
ASM	41
ASM	42
ASM	44
ASM	45
ASM	46
ASM	68
ASM	48
ASM	49
ASM	50
ASM	51
ASM	52
ASM	53
ASM	69
ASM	55
ASM	56
ASM	57
ASM	58
ASM	59
ASM	60
ASM	61
ASM	62
AND	70
AND	71
AND	14
AND	15
AND	16
AND	17
AND	18
AND	19
AND	20
AND	21
AND	22
AND	72
AND	24
AND	25
AND	73
AND	74
AND	27
AND	28
AND	29
AND	30
AND	32
AND	34
AND	36
AND	37
AND	38
AND	39
AND	40
AND	41
AND	42
AND	44
AND	75
AND	50
AND	51
AND	52
AND	53
AND	55
AND	56
AND	57
AND	58
AND	59
AND	60
AND	61
AND	62
AGO	0
AGO	2
AGO	3
AGO	4
AGO	5
AGO	6
AGO	7
AGO	8
AGO	9
AGO	10
AGO	11
AGO	12
AGO	13
AGO	14
AGO	15
AGO	16
AGO	17
AGO	18
AGO	19
AGO	20
AGO	21
AGO	22
AGO	23
AGO	24
AGO	25
AGO	26
AGO	27
AGO	28
AGO	29
AGO	30
AGO	31
AGO	32
AGO	34
AGO	36
AGO	37
AGO	38
AGO	39
AGO	40
AGO	41
AGO	42
AGO	43
AGO	44
AGO	45
AGO	46
AGO	76
AGO	48
AGO	49
AGO	50
AGO	51
AGO	52
AGO	53
AGO	77
AGO	55
AGO	56
AGO	57
AGO	58
AGO	59
AGO	60
AGO	61
AGO	62
AIA	0
AIA	2
AIA	3
AIA	4
AIA	5
AIA	6
AIA	7
AIA	8
AIA	9
AIA	10
AIA	11
AIA	12
AIA	13
AIA	14
AIA	15
AIA	16
AIA	17
AIA	18
AIA	19
AIA	20
AIA	21
AIA	22
AIA	23
AIA	24
AIA	25
AIA	26
AIA	27
AIA	28
AIA	29
AIA	30
AIA	31
AIA	32
AIA	34
AIA	36
AIA	37
AIA	38
AIA	39
AIA	40
AIA	41
AIA	42
AIA	44
AIA	45
AIA	46
AIA	78
