disease	idCountry
Routine vaccines	AFG
Cholera	AFG
Hepatitis A	AFG
Hepatitis B	AFG
Malaria	AFG
Polio	AFG
Rabies	AFG
Typhoid	AFG
Yellow Fever	AFG
Dengue	AFG
H5N1 Avian Influenza	AFG
Tuberculosis (TB)	AFG
Routine vaccines	ALB
Hepatitis A	ALB
Hepatitis B	ALB
Rabies	ALB
Yellow Fever	ALB
Tickborne Encephalitis	ALB
H5N1 Avian Influenza	ALB
Routine vaccines	DZA
Hepatitis A	DZA
Hepatitis B	DZA
Malaria	DZA
Rabies	DZA
Typhoid	DZA
Yellow Fever	DZA
Routine vaccines	ASM
Hepatitis A	ASM
Hepatitis B	ASM
Typhoid	ASM
Dengue	ASM
Routine vaccines	AND
Hepatitis A	AND
Hepatitis B	AND
Rabies	AND
Routine vaccines	AGO
Hepatitis A	AGO
Hepatitis B	AGO
Malaria	AGO
Rabies	AGO
Typhoid	AGO
Yellow Fever	AGO
African Sleeping Sickness (African Trypanosomiasis)	AGO
African Tick-Bite Fever	AGO
Chikungunya	AGO
Dengue	AGO
HIV Infection	AGO
Tuberculosis (TB)	AGO
Routine vaccines	AIA
Hepatitis A	AIA
Hepatitis B	AIA
Rabies	AIA
Typhoid	AIA
African Tick-Bite Fever	AIA
Dengue	AIA
Routine vaccines	ATG
Hepatitis A	ATG
Hepatitis B	ATG
Rabies	ATG
Typhoid	ATG
Yellow Fever	ATG
African Tick-Bite Fever	ATG
Dengue	ATG
Routine vaccines	ARG
Hepatitis A	ARG
Hepatitis B	ARG
Rabies	ARG
Typhoid	ARG
Yellow Fever	ARG
Chagas disease (American Trypanosomiasis)	ARG
Dengue	ARG
Routine vaccines	ARM
Hepatitis A	ARM
Hepatitis B	ARM
Rabies	ARM
Tuberculosis (TB)	ARM
Routine vaccines	ABW
Hepatitis A	ABW
Hepatitis B	ABW
Rabies	ABW
Typhoid	ABW
Dengue	ABW
Routine vaccines	AUS
Hepatitis A	AUS
Hepatitis B	AUS
Japanese Encephalitis	AUS
Rabies	AUS
Yellow Fever	AUS
Dengue	AUS
Routine vaccines	AUT
Hepatitis A	AUT
Hepatitis B	AUT
Rabies	AUT
Tickborne Encephalitis	AUT
H5N1 Avian Influenza	AUT
Routine vaccines	AZE
Hepatitis A	AZE
Hepatitis B	AZE
Malaria	AZE
Rabies	AZE
H5N1 Avian Influenza	AZE
Tuberculosis (TB)	AZE
Routine vaccines	AZO
Hepatitis A	AZO
Hepatitis B	AZO
Rabies	AZO
Routine vaccines	BHR
Hepatitis A	BHR
Hepatitis B	BHR
Rabies	BHR
Typhoid	BHR
Yellow Fever	BHR
Routine vaccines	BGD
Cholera	BGD
Hepatitis A	BGD
Hepatitis B	BGD
Japanese Encephalitis	BGD
Malaria	BGD
Rabies	BGD
Typhoid	BGD
Yellow Fever	BGD
Chikungunya	BGD
Dengue	BGD
H5N1 Avian Influenza	BGD
Tuberculosis (TB)	BGD
Routine vaccines	BRB
Hepatitis A	BRB
Hepatitis B	BRB
Rabies	BRB
Typhoid	BRB
Yellow Fever	BRB
African Tick-Bite Fever	BRB
Dengue	BRB
Routine vaccines	BLR
Hepatitis A	BLR
Hepatitis B	BLR
Rabies	BLR
Tickborne Encephalitis	BLR
Tuberculosis (TB)	BLR
Routine vaccines	BEL
Hepatitis A	BEL
Hepatitis B	BEL
Rabies	BEL
Routine vaccines	BLZ
Hepatitis A	BLZ
Hepatitis B	BLZ
Malaria	BLZ
Rabies	BLZ
Typhoid	BLZ
Yellow Fever	BLZ
Chagas disease (American Trypanosomiasis)	BLZ
Dengue	BLZ
HIV Infection	BLZ
Routine vaccines	BEN
Cholera	BEN
Hepatitis A	BEN
Hepatitis B	BEN
Malaria	BEN
Meningitis (Meningococcal disease)	BEN
Rabies	BEN
Typhoid	BEN
Yellow Fever	BEN
African Sleeping Sickness (African Trypanosomiasis)	BEN
African Tick-Bite Fever	BEN
Chikungunya	BEN
Dengue	BEN
HIV Infection	BEN
H5N1 Avian Influenza	BEN
Routine vaccines	BMU
Hepatitis A	BMU
Hepatitis B	BMU
Rabies	BMU
Typhoid	BMU
Routine vaccines	BTN
Hepatitis A	BTN
Hepatitis B	BTN
Japanese Encephalitis	BTN
Malaria	BTN
Rabies	BTN
Typhoid	BTN
Yellow Fever	BTN
Dengue	BTN
H5N1 Avian Influenza	BTN
Tuberculosis (TB)	BTN
Routine vaccines	BOL
Hepatitis A	BOL
Hepatitis B	BOL
Malaria	BOL
Rabies	BOL
Typhoid	BOL
Yellow Fever	BOL
Chagas disease (American Trypanosomiasis)	BOL
Dengue	BOL
Tuberculosis (TB)	BOL
Routine vaccines	BES
Hepatitis A	BES
Hepatitis B	BES
Rabies	BES
Typhoid	BES
Yellow Fever	BES
Dengue	BES
Routine vaccines	BIH
Hepatitis A	BIH
Hepatitis B	BIH
Rabies	BIH
Tickborne Encephalitis	BIH
H5N1 Avian Influenza	BIH
Routine vaccines	BWA
Hepatitis A	BWA
Hepatitis B	BWA
Malaria	BWA
Rabies	BWA
Typhoid	BWA
Yellow Fever	BWA
African Sleeping Sickness (African Trypanosomiasis)	BWA
African Tick-Bite Fever	BWA
Chikungunya	BWA
Dengue	BWA
HIV Infection	BWA
Tuberculosis (TB)	BWA
Routine vaccines	BRA
Hepatitis A	BRA
Hepatitis B	BRA
Malaria	BRA
Rabies	BRA
Typhoid	BRA
Yellow Fever	BRA
Chagas disease (American Trypanosomiasis)	BRA
Dengue	BRA
Routine vaccines	IOT
Hepatitis A	IOT
Hepatitis B	IOT
Typhoid	IOT
Chikungunya	IOT
