Vaccine_name	Status	Vaccine_recomendations	Type	Disease_Name
Typhim Vi	Licensed	Us if 2 years and older. Your doctor may recommend that you get the typhoid shot instead of the oral vaccine if you have a weakened immune system or if you have cancer.	Subunit Vaccine	Typhoid
ViVaxim	Licensed	Approved Age for Licensed Use: 16 years of age and older.	Subunit vaccine + Inactivated or "killed" vaccine	Typhoid
Vivotif	Licensed	Approved Age for Licensed Use: 6 years of age and older.	Live, attenuated vaccine	Typhoid
Vivotif L	Licensed	Approved Age for Licensed Use: 3 years of age and older.	Live vaccine	Typhoid
Salmonella Typhimurium hfq	Research		Gene mutation	Typhoid
Salmonella Gallinarum cpxR/Ion	Research		Gene mutation	Typhoid
YF-Vax	Licensed	Us if between 9 month and 59 years. Not recommended for people with the following conditions: People with a weakened immune system from ongoing medical conditions, like HIV (with symptoms) or a disorder of the thymus (part of your immune system), People who have cancerous tumors, People who have had an organ transplantPeople who have had an organ transplant and/or Pregnant or brastfeeding.	Live, attenuated vaccine	Yellow fever
Yellow Fever NS1 Protein Vaccine	Research		Subunit vaccine	Yellow fever
vP869	Research		Recombinant vector vaccine	Yellow fever
Imovax Rabies	Licensed		Inactivated or "killed" vaccine	Rabies
RabAvert	Licensed		Live, attenuated vaccine	Rabies
Rabies Vaccine Adsorbed(RVA)	Licensed		Inactivated or "killed" vaccine	Rabies
Rabies vaccine rVac-N 	Research		Recombinant vector construction	Rabies
Rabies virus P protein mutant vaccine 	Research		Gene mutation	Rabies
Adacel-Polio	Licensed	Use if 4 years and older	Toxoid vaccine + Subunit vaccine + Inactivated or "killed" vaccine	Polio
Boostrix-Polio	Licensed	Use if 4 years and older	Toxoid vaccine + Subunit vaccine + Inactivated or "killed" vaccine	Polio
DT Polio Adsorbed	Licensed	Use if 7 years and older	Subunit vaccine + Inactivated or "killed" vaccine	Polio
Imovax Polio	Licensed	Use if 12 weeks and older	Inactivated or "killed" vaccine	Polio
Inactived Poliomyelitis Vaccine – IPV 	Licensed	All ages	Inactivated or "killed" vaccine	Polio
Infanrix -IPV/Hib	Licensed	Use if between 2 month and 6 years	Subunit vaccine + Inactivated or "killed" vaccine	Polio
Infanrix-hexa	Licensed	Use if 7 years and younger	Subunit vaccine + Inactivated or "killed" vaccine	Polio
IPOL	Licensed	All children should receive four doses of inactivated poliovirus vaccine (IPV) at ages 2, 4, 6 to 18 months and 4 to 6 years	Inactivated or "killed" vaccine	Polio
KINRIX	Licensed	Use if 4 to 6 years of age.	Toxoid vaccine + Subunit vaccine + Inactivated or "killed" vaccine	Polio
Pediacel 	Licensed	Use if between 2 month and 6 years	Subunit vaccine + Inactivated or "killed" vaccine	Polio
